date,place,section,subject,time,title,url
21 января 2017 года,,Новости,Внешняя политика,13:55,Соболезнования Президенту и Премьер-министру Венгрии,http://kremlin.ru/catalog/keywords/82/events/53760
26 января 2017 года,Поздравления,Телеграммы,Внешняя политика,12:00,"Пранабу Мукерджи, Президенту Республики Индии, и Нарендре Моди, Премьер-министру Республики Индии",http://kremlin.ru/catalog/keywords/82/events/53777
19 января 2017 года,,Новости,Внешняя политика,12:20,Соболезнования Президенту Республики Мали Ибрагиму Бубакару Кейте,http://kremlin.ru/catalog/keywords/82/events/53751
27 января 2017 года,"Московская область, Ново-Огарёво","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность",14:15,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/53784
28 января 2017 года,,Новости,Внешняя политика,11:10,Телефонный разговор с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/53786
28 января 2017 года,,Новости,Внешняя политика,22:55,Телефонный разговор с Президентом США Дональдом Трампом,http://kremlin.ru/catalog/keywords/82/events/53787
,,"Новости, Анонсы",Внешняя политика,,2 февраля Владимир Путин посетит Венгрию,http://kremlin.ru/catalog/keywords/82/events/53802
2 февраля 2017 года,Будапешт,"Новости, Выступления и стенограммы",Внешняя политика,18:50,Совместная пресс-конференция с Премьер-министром Венгрии Виктором Орбаном,http://kremlin.ru/catalog/keywords/82/events/53806
2 февраля 2017 года,Будапешт,Новости,Внешняя политика,20:10,Российско-венгерские переговоры,http://kremlin.ru/catalog/keywords/82/events/53805
3 февраля 2017 года,,Новости,Внешняя политика,15:00,Комментарий пресс-службы Президента России о ситуации в российско-белорусских отношениях,http://kremlin.ru/catalog/keywords/82/events/53810
7 февраля 2017 года,,Новости,Внешняя политика,13:50,Телефонный разговор с Федеральным канцлером Германии Ангелой Меркель,http://kremlin.ru/catalog/keywords/82/events/53822
