date,place,section,subject,time,title,url
6 апреля 2012 года,,Новости,Внешняя политика,12:10,Поздравление Гурбангулы Бердымухамедову с 20-летием установления дипотношений между Россией и Туркменистаном и 10-летием со дня подписания Договора о дружбе и сотрудничестве,http://kremlin.ru/catalog/keywords/82/events/14953
10 апреля 2012 года,,"Новости, Документы","Внешняя политика, ОДКБ",09:10,Дмитрий Медведев внёс в Госдуму на ратификацию соглашение о порядке формирования и функционирования сил ОДКБ,http://kremlin.ru/catalog/keywords/82/events/14988
10 апреля 2012 года,,Новости,Внешняя политика,14:50,Поздравление Леониду Тибилову с избранием на пост Президента Южной Осетии,http://kremlin.ru/catalog/keywords/82/events/14996
12 апреля 2012 года,,Новости,Внешняя политика,20:30,Телефонный разговор с Президентом ЮАР Джейкобом Зумой,http://kremlin.ru/catalog/keywords/82/events/15014
18 апреля 2012 года,,"Новости, Документы","Внешняя политика, Вооружённые Силы",17:30,Дмитрий Медведев внёс на ратификацию в Госдуму Соглашение между Россией и Италией о транзите военных грузов,http://kremlin.ru/catalog/keywords/82/events/15068
19 апреля 2012 года,,Новости,Внешняя политика,20:00,Телефонный разговор с Президентом Южной Осетии Леонидом Тибиловым,http://kremlin.ru/catalog/keywords/82/events/15076
20 апреля 2012 года,"Московская область, Горки","Новости, Выступления и стенограммы","Внешняя политика, Национальная безопасность",14:00,Дмитрий Медведев встретился с министрами иностранных дел и обороны России и Италии,http://kremlin.ru/catalog/keywords/82/events/15077
20 апреля 2012 года,"Московская область, Горки","Новости, Администрация Президента, Совет Безопасности","Внешняя политика, Национальная безопасность",15:45,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/15079
21 апреля 2012 года,,Новости,Внешняя политика,12:00,Соболезнования Президенту Пакистана Асифу Али Зардари,http://kremlin.ru/catalog/keywords/82/events/15082
24 апреля 2012 года,"Москва, Кремль","Новости, Выступления и стенограммы, Государственный совет","Внешняя политика, Вооружённые Силы, Демография, Жильё, Здравоохранение, Информационное общество, Наука и инновации, Пенсии, Поддержка предпринимательства, Права человека, Противодействие коррупции, Социальная сфера, Школа, Экономика и финансы",13:00,Расширенное заседание Госсовета,http://kremlin.ru/catalog/keywords/82/events/15111
26 апреля 2012 года,,Новости,Внешняя политика,12:00,Состоится встреча Дмитрия Медведева с вице-премьером Госсовета КНР Ли Кэцяном,http://kremlin.ru/catalog/keywords/82/events/15153
27 апреля 2012 года,,"Новости, Документы, Комиссии и Советы, Комиссия по государственным наградам","Внешняя политика, Госнаграды",11:30,Указ о награждении иностранных граждан – участников Второй мировой войны медалью Ушакова,http://kremlin.ru/catalog/keywords/82/events/15159
27 апреля 2012 года,"Московская область, Горки","Новости, Выступления и стенограммы",Внешняя политика,14:30,Встреча с Заместителем Премьера Госсовета Китая Ли Кэцяном,http://kremlin.ru/catalog/keywords/82/events/15163
8 мая 2012 года,,Новости,Внешняя политика,19:35,Телефонный разговор с Президентом Аргентины Кристиной Фернандес де Киршнер,http://kremlin.ru/catalog/keywords/82/events/15268
8 мая 2012 года,,Новости,Внешняя политика,22:45,Состоялись телефонные разговоры с избранным и действующим президентами Франции Франсуа Олландом и Николя Саркози,http://kremlin.ru/catalog/keywords/82/events/15270
9 мая 2012 года,,Новости,"Внешняя политика, СНГ",18:00,Телефонный разговор с Президентом Украины Виктором Януковичем,http://kremlin.ru/catalog/keywords/82/events/15277
9 мая 2012 года,,Новости,Внешняя политика,18:10,Телефонный разговор с Президентом Бразилии Дилмой Роуссефф,http://kremlin.ru/catalog/keywords/82/events/15278
9 мая 2012 года,,Новости,Внешняя политика,21:20,Телефонный разговор с Президентом США Бараком Обамой,http://kremlin.ru/catalog/keywords/82/events/15279
10 мая 2012 года,,Новости,Внешняя политика,15:20,Соболезнования Президенту Индонезии Сусило Бамбангу Юдойоно в связи с крушением самолёта «Сухой Суперджет-100»,http://kremlin.ru/catalog/keywords/82/events/15286
10 мая 2012 года,,Новости,"Внешняя политика, ОДКБ, СНГ",17:00,15 мая состоится юбилейная сессия Совета коллективной безопасности ОДКБ,http://kremlin.ru/catalog/keywords/82/events/15290
10 мая 2012 года,,Новости,Внешняя политика,18:50,11 мая Владимир Путин встретится с Президентом Абхазии Александром Анквабом,http://kremlin.ru/catalog/keywords/82/events/15292
10 мая 2012 года,,Новости,Внешняя политика,19:00,12 мая состоятся российско-южноосетинские переговоры,http://kremlin.ru/catalog/keywords/82/events/15293
10 мая 2012 года,,Новости,Внешняя политика,21:45,Телефонный разговор с Президентом Индонезии Сусило Бамбангом Юдойоно,http://kremlin.ru/catalog/keywords/82/events/15294
10 мая 2012 года,,Новости,Внешняя политика,21:55,Телефонный разговор с Премьер-министром Канады Стивеном Харпером,http://kremlin.ru/catalog/keywords/82/events/15295
10 мая 2012 года,,Новости,Внешняя политика,22:00,Телефонный разговор с Федеральным канцлером Германии Ангелой Меркель,http://kremlin.ru/catalog/keywords/82/events/15296
11 мая 2012 года,,Новости,Внешняя политика,13:40,Телефонный разговор с Премьер-министром Великобритании Дэвидом Кэмероном,http://kremlin.ru/catalog/keywords/82/events/15298
11 мая 2012 года,,Новости,Внешняя политика,13:50,Телефонный разговор с премьер-министром Италии Марио Монти,http://kremlin.ru/catalog/keywords/82/events/15299
11 мая 2012 года,Сочи,Новости,"Внешняя политика, Регионы, Транспорт",15:00,Осмотр пункта пропуска «Адлер» на границе с Абхазией,http://kremlin.ru/catalog/keywords/82/events/15301
12 мая 2012 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,14:30,Переговоры с Президентом Южной Осетии Леонидом Тибиловым,http://kremlin.ru/catalog/keywords/82/events/15324
15 мая 2012 года,"Москва, Кремль",Новости,"Внешняя политика, ОДКБ",16:00,Сессия Совета коллективной безопасности ОДКБ,http://kremlin.ru/catalog/keywords/82/events/15344
15 мая 2012 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:00,Встреча с Президентом Узбекистана Исламом Каримовым,http://kremlin.ru/catalog/keywords/82/events/15347
15 мая 2012 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:00,Встреча с Президентом Украины Виктором Януковичем,http://kremlin.ru/catalog/keywords/82/events/15348
15 мая 2012 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:50,Встреча с Президентом Таджикистана Эмомали Рахмоном,http://kremlin.ru/catalog/keywords/82/events/15349
15 мая 2012 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,19:40,Встреча с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/15351
15 мая 2012 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, СНГ",20:30,Неформальное заседание Совета глав государств СНГ,http://kremlin.ru/catalog/keywords/82/events/15350
15 мая 2012 года,"Москва, Кремль",Новости,Внешняя политика,22:20,Встреча с Президентом Киргизии Алмазбеком Атамбаевым,http://kremlin.ru/catalog/keywords/82/events/15352
16 мая 2012 года,,Новости,Внешняя политика,12:10,31 мая Владимир Путин посетит Белоруссию с рабочим визитом,http://kremlin.ru/catalog/keywords/82/events/15354
16 мая 2012 года,"Московская область, Ново-Огарёво",Новости,"Внешняя политика, Госслужба",16:00,Рабочая встреча с Председателем Правительства Дмитрием Медведевым,http://kremlin.ru/catalog/keywords/82/events/15355
12 мая 2012 года,,Новости,Внешняя политика,15:50,Телефонный разговор с Президентом Ирана Махмудом Ахмадинежадом,http://kremlin.ru/catalog/keywords/82/events/15330
18 мая 2012 года,,Новости,Внешняя политика,20:45,Соболезнования Президенту Вьетнама Чыонг Тан Шангу,http://kremlin.ru/catalog/keywords/82/events/15374
14 мая 2012 года,,Новости,Внешняя политика,21:15,Телефонный разговор с Премьер-министром Франции Франсуа Фийоном,http://kremlin.ru/catalog/keywords/82/events/15341
21 мая 2012 года,,Новости,Внешняя политика,13:30,Поздравление Томиславу Николичу с избранием Президентом Сербии,http://kremlin.ru/catalog/keywords/82/events/15385
21 мая 2012 года,,Новости,Внешняя политика,17:40,Соболезнования Президенту Италии Джорджо Наполитано,http://kremlin.ru/catalog/keywords/82/events/15393
25 мая 2012 года,,Новости,Внешняя политика,14:15,"Владимир Путин посетит Республику Беларусь, Германию и Францию",http://kremlin.ru/catalog/keywords/82/events/15438
25 мая 2012 года,,,Внешняя политика,14:15,Владимир Путин посетит Францию с рабочим визитом,http://kremlin.ru/catalog/keywords/82/events/15434
26 мая 2012 года,Москва,Новости,Внешняя политика,14:30,Встреча с Премьер-министром Украины Николаем Азаровым,http://kremlin.ru/catalog/keywords/82/events/15446
26 мая 2012 года,Москва,"Новости, Выступления и стенограммы",Внешняя политика,15:00,Встреча с избранным Президентом Сербии Томиславом Николичем,http://kremlin.ru/catalog/keywords/82/events/15447
28 мая 2012 года,,Новости,"Внешняя политика, Россия–Евросоюз",14:00,В Санкт-Петербурге состоится встреча на высшем уровне Россия – Европейский союз,http://kremlin.ru/catalog/keywords/82/events/15455
28 мая 2012 года,,Новости,Внешняя политика,15:00,Поздравление Президенту Азербайджана Ильхаму Алиеву с национальным праздником страны – Днём республики,http://kremlin.ru/catalog/keywords/82/events/15456
28 мая 2012 года,,Новости,Внешняя политика,22:30,Соболезнования Эмиру Катара шейху Хамаду бен Халифе Аль-Тани,http://kremlin.ru/catalog/keywords/82/events/15458
,,"Новости, Анонсы",Внешняя политика,,"Владимир Путин посетит Узбекистан, Китай и Казахстан",http://kremlin.ru/catalog/keywords/82/events/15459
29 мая 2012 года,"Московская область, Ново-Огарёво","Новости, Выступления и стенограммы",Внешняя политика,12:15,Рабочая встреча с Председателем Государственной Думы Сергеем Нарышкиным,http://kremlin.ru/catalog/keywords/82/events/15461
30 мая 2012 года,,"Новости, Документы","Внешняя политика, Госслужба",15:00,О назначении Виктора Зубкова спецпредставителем Президента по взаимодействию с Форумом стран – экспортёров газа,http://kremlin.ru/catalog/keywords/82/events/15504
31 мая 2012 года,Заславль,Выступления и стенограммы,Внешняя политика,21:00,Беседа с Президентом Белоруссии Александром Лукашенко,http://kremlin.ru/catalog/keywords/82/events/15517
31 мая 2012 года,Заславль,Выступления и стенограммы,Внешняя политика,22:15,Российско-белорусские переговоры в расширенном составе,http://kremlin.ru/catalog/keywords/82/events/15518
31 мая 2012 года,Заславль,Выступления и стенограммы,Внешняя политика,22:45,Заявления для прессы по итогам российско-белорусских переговоров,http://kremlin.ru/catalog/keywords/82/events/15519
1 июня 2012 года,,Новости,Внешняя политика,12:00,Официальный визит в Белоруссию,http://kremlin.ru/catalog/keywords/82/events/15516
1 июня 2012 года,Берлин,"Новости, Выступления и стенограммы",Внешняя политика,17:00,Рабочий визит в Германию,http://kremlin.ru/catalog/keywords/82/events/15523
4 июня 2012 года,"Зарубежный визит, 2 события",Поездки,Внешняя политика,,Визит в Узбекистан,http://kremlin.ru/catalog/keywords/82/events/15551
5 июня 2012 года,,"Новости, Выступления и стенограммы",Внешняя политика,02:00,Россия и Китай: новые горизонты сотрудничества,http://kremlin.ru/catalog/keywords/82/events/15547
5 июня 2012 года,Пекин,Новости,Внешняя политика,15:30,Государственный визит в Китай,http://kremlin.ru/catalog/keywords/82/events/15550
5 июня 2012 года,Пекин,Выступления и стенограммы,Внешняя политика,16:00,Заявления для прессы по итогам российско-китайских переговоров,http://kremlin.ru/catalog/keywords/82/events/15552
5 июня 2012 года,,Новости,Внешняя политика,19:30,Поздравление Королеве Дании Маргрете II с национальным праздником – Днём конституции,http://kremlin.ru/catalog/keywords/82/events/15553
6 июня 2012 года,,"Новости, Документы","Борьба с наркоманией, Борьба с терроризмом, Внешняя политика",10:00,Подписан закон о ратификации Договора о партнёрских отношениях между Россией и Чили,http://kremlin.ru/catalog/keywords/82/events/15557
6 июня 2012 года,Пекин,"Новости, Выступления и стенограммы",Внешняя политика,10:15,Встреча с Премьером Государственного совета КНР Вэнь Цзябао,http://kremlin.ru/catalog/keywords/82/events/15563
6 июня 2012 года,Пекин,"Новости, Выступления и стенограммы",Внешняя политика,11:30,Встреча с Заместителем Премьера Госсовета Китая Ли Кэцяном,http://kremlin.ru/catalog/keywords/82/events/15560
6 июня 2012 года,Пекин,"Новости, Выступления и стенограммы",Внешняя политика,12:15,Встреча с Заместителем Председателя Китайской Народной Республики Си Цзиньпином,http://kremlin.ru/catalog/keywords/82/events/15567
6 июня 2012 года,Пекин,"Новости, Выступления и стенограммы",Внешняя политика,13:30,Встреча с Председателем Постоянного комитета Всекитайского собрания народных представителей У Банго,http://kremlin.ru/catalog/keywords/82/events/15568
6 июня 2012 года,,Новости,Внешняя политика,20:30,Телефонный разговор с Премьер-министром Люксембурга Жан-Клодом Юнкером,http://kremlin.ru/catalog/keywords/82/events/15586
7 июня 2012 года,Пекин,Выступления и стенограммы,Внешняя политика,08:00,Выступление на заседании Совета глав государств – членов Шанхайской организации сотрудничества,http://kremlin.ru/catalog/keywords/82/events/15589
7 июня 2012 года,Пекин,Новости,"Внешняя политика, ШОС",08:30,В Пекине состоялся саммит Шанхайской организации сотрудничества,http://kremlin.ru/catalog/keywords/82/events/15570
7 июня 2012 года,,"Новости, Документы",Внешняя политика,09:25,Подписан закон о ратификации российско-казахстанского соглашения о порядке медицинского обслуживания персонала космодрома «Байконур»,http://kremlin.ru/catalog/keywords/82/events/15582
7 июня 2012 года,,"Новости, Документы","Внешняя политика, Транспорт",09:30,Подписан закон о заявлении России в связи с Протоколом по авиационному оборудованию к Конвенции о международных гарантиях в отношении подвижного оборудования,http://kremlin.ru/catalog/keywords/82/events/15585
7 июня 2012 года,Астана,Новости,Внешняя политика,20:45,Официальный визит в Казахстан,http://kremlin.ru/catalog/keywords/82/events/15593
8 июня 2012 года,,Документы,Внешняя политика,09:00,Утверждено Положение о российской делегации для участия в Конгрессе местных и региональных властей Совета Европы,http://kremlin.ru/catalog/keywords/82/events/15592
10 июня 2012 года,,Новости,"«Большая двадцатка», Внешняя политика",10:00,Владимир Путин примет участие в саммите «большой двадцатки»,http://kremlin.ru/catalog/keywords/82/events/15613
13 июня 2012 года,,Новости,Внешняя политика,16:00,Соболезнования Президенту Афганистана Хамиду Карзаю,http://kremlin.ru/catalog/keywords/82/events/15636
13 июня 2012 года,,Новости,Внешняя политика,21:00,Телефонный разговор с Премьер-министром Польши Дональдом Туском,http://kremlin.ru/catalog/keywords/82/events/15638
,,"Новости, Анонсы","Внешняя политика, Экономика и финансы",,Владимир Путин примет участие в XVI Петербургском международном экономическом форуме,http://kremlin.ru/catalog/keywords/82/events/15641
15 июня 2012 года,,Новости,Внешняя политика,12:10,20–22 июня Президент Финляндии Саули Ниинистё посетит Россию,http://kremlin.ru/catalog/keywords/82/events/15648
16 июня 2012 года,,"Новости, Документы",Внешняя политика,12:30,Подписан закон о ратификации Соглашения между Россией и Польшей о порядке местного приграничного передвижения,http://kremlin.ru/catalog/keywords/82/events/15662
16 июня 2012 года,,"Новости, Документы","Внешняя политика, Налоги",14:00,Подписан закон о ратификации протокола об учреждении в России постпредства Европейского космического агентства,http://kremlin.ru/catalog/keywords/82/events/15660
17 июня 2012 года,,"Новости, Документы, Администрация Президента","Внешняя политика, Госслужба, Соотечественники",11:10,Александр Бабаков назначен спецпредставителем Президента по взаимодействию с организациями соотечественников за рубежом,http://kremlin.ru/catalog/keywords/82/events/15675
17 июня 2012 года,,Новости,Внешняя политика,13:30,Соболезнования Королю Саудовской Аравии Абдалле ибн Абделю Азизу Аль-Сауду,http://kremlin.ru/catalog/keywords/82/events/15677
18 − 20 июня 2012 года,"Зарубежный визит, 11 событий",Поездки,"«Большая двадцатка», Внешняя политика",,Саммит «Группы двадцати»,http://kremlin.ru/catalog/keywords/82/events/15702
18 июня 2012 года,,"Новости, Выступления и стенограммы","«Большая двадцатка», Внешняя политика, Экономика и финансы",15:00,«Группа двадцати» и глобальные вызовы экономики,http://kremlin.ru/catalog/keywords/82/events/15686
18 июня 2012 года,,Новости,Внешняя политика,15:30,"25–26 июня Президент России посетит с рабочим визитом Израиль, Палестину и Иорданию",http://kremlin.ru/catalog/keywords/82/events/15685
18 июня 2012 года,,Новости,"«Большая двадцатка», Внешняя политика",16:15,Владимир Путин прибыл в Мексику для участия в саммите G20,http://kremlin.ru/catalog/keywords/82/events/15687
19 июня 2012 года,"Мексика, Лос-Кабос","Новости, Выступления и стенограммы",Внешняя политика,06:00,Встреча с Президентом Бразилии Дилмой Роуссефф,http://kremlin.ru/catalog/keywords/82/events/15696
19 июня 2012 года,"Мексика, Лос-Кабос","Новости, Выступления и стенограммы",Внешняя политика,09:00,Встреча с Премьер-министром Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/15697
20 июня 2012 года,Лос-Кабос,"Новости, Выступления и стенограммы",Внешняя политика,02:30,Встреча с Президентом Индонезии Сусило Бамбангом Юдойоно,http://kremlin.ru/catalog/keywords/82/events/15700
20 июня 2012 года,Лос-Кабос,"Новости, Выступления и стенограммы","«Большая двадцатка», Внешняя политика",02:45,Саммит «большой двадцатки»,http://kremlin.ru/catalog/keywords/82/events/15698
20 июня 2012 года,,Новости,Внешняя политика,21:50,Поздравление Сальману Бен Абдель Азизу Аль Сауду с назначением наследным принцем,http://kremlin.ru/catalog/keywords/82/events/15707
21 июня 2012 года,,Новости,Внешняя политика,12:30,Поздравление Антонису Самарасу с победой на выборах в парламент Греции и с назначением на должность Премьер-министра,http://kremlin.ru/catalog/keywords/82/events/15708
21 июня 2012 года,Санкт-Петербург,"Новости, Выступления и стенограммы","Внешняя политика, Экономика и финансы",15:00,Петербургский международный экономический форум,http://kremlin.ru/catalog/keywords/82/events/15709
21 июня 2012 года,Санкт-Петербург,"Новости, Выступления и стенограммы",Внешняя политика,18:30,Встреча с представителем политбюро компартии Китая Хэ Гоцяном,http://kremlin.ru/catalog/keywords/82/events/15711
21 июня 2012 года,Санкт-Петербург,"Новости, Выступления и стенограммы",Внешняя политика,18:50,Владимир Путин встретился с бывшим госсекретарём США Генри Киссинджером,http://kremlin.ru/catalog/keywords/82/events/15712
22 июня 2012 года,"Москва, Кремль","Новости, Совет Безопасности","«Большая двадцатка», Внешняя политика, Национальная безопасность",12:00,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/15718
22 июня 2012 года,Ленинградская область,Выступления и стенограммы,Внешняя политика,19:00,Заявления для прессы и ответы на вопросы журналистов по итогам встречи с Президентом Финляндии Саули Ниинистё,http://kremlin.ru/catalog/keywords/82/events/15722
22 июня 2012 года,Ленинградская область,"Новости, Выступления и стенограммы",Внешняя политика,19:30,Встреча с Президентом Финляндии Саули Ниинистё,http://kremlin.ru/catalog/keywords/82/events/15720
25 июня 2012 года,,Новости,Внешняя политика,09:30,Поздравление Мухаммеду Мурси с избранием на пост Президента Египта,http://kremlin.ru/catalog/keywords/82/events/15724
25 июня 2012 года,Нетания,"Новости, Выступления и стенограммы","Великая Отечественная война, Внешняя политика, Соотечественники",14:00,Открытие Мемориала победы Красной армии над фашистской Германией,http://kremlin.ru/catalog/keywords/82/events/15727
25 июня 2012 года,Иерусалим,"Новости, Выступления и стенограммы",Внешняя политика,18:00,Встреча с Премьер-министром Израиля Биньямином Нетаньяху,http://kremlin.ru/catalog/keywords/82/events/15728
26 июня 2012 года,Вифлеем,Выступления и стенограммы,"Внешняя политика, Культура",17:00,Выступления на открытии Российского центра науки и культуры,http://kremlin.ru/catalog/keywords/82/events/15750
26 июня 2012 года,Иордания,"Новости, Выступления и стенограммы",Внешняя политика,21:30,Визит в Иорданию,http://kremlin.ru/catalog/keywords/82/events/15759
26 июня 2012 года,Иордания,"Новости, Выступления и стенограммы",Внешняя политика,22:30,Владимир Путин ответил на вопросы российских журналистов,http://kremlin.ru/catalog/keywords/82/events/15768
27 июня 2012 года,,Документы,"Внешняя политика, Госслужба",11:00,О представителе Президента в «большой восьмёрке»,http://kremlin.ru/catalog/keywords/82/events/15772
27 июня 2012 года,,Новости,Внешняя политика,19:30,Телефонный разговор с Премьер-министром Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/15782
28 июня 2012 года,,Новости,Внешняя политика,16:40,Телефонный разговор с избранным президентом Египта Мухаммедом Мурси,http://kremlin.ru/catalog/keywords/82/events/15788
29 июня 2012 года,,Новости,Внешняя политика,13:50,Телефонный разговор с Президентом Туркменистана Гурбангулы Бердымухамедовым,http://kremlin.ru/catalog/keywords/82/events/15810
1 июля 2012 года,,Новости,Внешняя политика,19:00,Поздравления с Днём Канады Премьер-министру Стивену Харперу и Генерал-губернатору Дэвиду Джонстону,http://kremlin.ru/catalog/keywords/82/events/15860
2 июля 2012 года,Сочи,"Новости, Выступления и стенограммы, Комиссии и Советы, Комиссия по вопросам военно-технического сотрудничества Российской Федерации с иностранными государствами","Внешняя политика, Вооружённые Силы",17:00,Заседание Комиссии по вопросам военно-технического сотрудничества с иностранными государствами,http://kremlin.ru/catalog/keywords/82/events/15865
3 июля 2012 года,,Новости,Внешняя политика,15:50,Поздравление Александру Лукашенко с Днём независимости Республики Беларусь,http://kremlin.ru/catalog/keywords/82/events/15871
4 июля 2012 года,,Новости,Внешняя политика,15:20,Поздравление Энрике Пенье Ньето с победой на президентских выборах в Мексике,http://kremlin.ru/catalog/keywords/82/events/15876
4 июля 2012 года,,Новости,Внешняя политика,18:20,Поздравление Президенту США Бараку Обаме с национальным праздником – Днём независимости,http://kremlin.ru/catalog/keywords/82/events/15881
,,"Новости, Анонсы",Внешняя политика,,Владимир Путин посетит Украину с рабочим визитом,http://kremlin.ru/catalog/keywords/82/events/15886
6 июля 2012 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность, Социальная сфера",14:00,Владимир Путин провёл оперативное совещание с членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/15888
6 июля 2012 года,,Новости,Внешняя политика,14:40,Телефонный разговор с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/15889
12 июля 2012 года,,"Новости, Документы","Внешняя политика, Информационное общество, Таможенный союз, Таможня",10:00,Подписан закон о ратификации соглашения о применении информационных технологий в ходе обмена электронными документами при торговле на территории Таможенного союза,http://kremlin.ru/catalog/keywords/82/events/15922
12 июля 2012 года,,"Новости, Документы","Внешняя политика, Информационное общество, Таможенный союз, Таможня",10:10,Подписан закон о ратификации соглашения о создании интегрированной информационной системы внешней и взаимной торговли Таможенного союза,http://kremlin.ru/catalog/keywords/82/events/15923
12 июля 2012 года,,Новости,Внешняя политика,14:00,Владимир Путин встретится с Премьер-министром Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/15932
12 июля 2012 года,Ялта,"Новости, Выступления и стенограммы",Внешняя политика,19:00,Встреча с Президентом Украины Виктором Януковичем,http://kremlin.ru/catalog/keywords/82/events/15940
12 июля 2012 года,Ялта,"Новости, Выступления и стенограммы",Внешняя политика,21:00,Заседание Российско-Украинской межгосударственной комиссии,http://kremlin.ru/catalog/keywords/82/events/15944
13 июля 2012 года,,"Новости, Документы",Внешняя политика,14:20,Подписан закон о ратификации соглашения между Россией и Северной Кореей о сотрудничестве в области предупреждения незаконного промысла живых морских ресурсов,http://kremlin.ru/catalog/keywords/82/events/15954
13 июля 2012 года,,"Новости, Документы","Внешняя политика, Вооружённые Силы",15:00,Подписан закон о ратификации Соглашения между Россией и Италией о транзите воздушным транспортом военной техники и персонала через территорию России,http://kremlin.ru/catalog/keywords/82/events/15956
13 июля 2012 года,,"Новости, Документы","Внешняя политика, Вооружённые Силы",16:35,Президент внёс в Госдуму на ратификацию Соглашение между Россией и Швецией о транзите военной техники и персонала через территорию России,http://kremlin.ru/catalog/keywords/82/events/15971
,,"Новости, Анонсы",Внешняя политика,,Владимир Путин встретится с Королём Испании Хуаном Карлосом I,http://kremlin.ru/catalog/keywords/82/events/15973
14 июля 2012 года,,Новости,Внешняя политика,11:00,Поздравление Президенту Франции Франсуа Олланду с национальным праздником – Днём взятия Бастилии,http://kremlin.ru/catalog/keywords/82/events/15974
15 июля 2012 года,,Новости,Внешняя политика,13:00,Владимир Путин встретится со спецпосланником ООН и ЛАГ Кофи Аннаном,http://kremlin.ru/catalog/keywords/82/events/15984
16 июля 2012 года,,Новости,Внешняя политика,13:00,Председатель Совета министров Италии Марио Монти посетит Россию с рабочим визитом,http://kremlin.ru/catalog/keywords/82/events/15991
17 июля 2012 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:00,Встреча со спецпосланником ООН и ЛАГ Кофи Аннаном,http://kremlin.ru/catalog/keywords/82/events/16005
18 июля 2012 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:30,Встреча с Премьер-министром Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/16009
18 июля 2012 года,"Москва, Кремль",Выступления и стенограммы,Внешняя политика,18:50,Заявления для прессы и ответы на вопросы журналистов по итогам встречи с Премьер-министром Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/16014
20 июля 2012 года,,Новости,Внешняя политика,17:40,Президент Вьетнама Чыонг Тан Шанг посетит Россию,http://kremlin.ru/catalog/keywords/82/events/16030
20 июля 2012 года,"Московская область, Ново-Огарёво","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность, Религия",20:00,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/16031
21 июля 2012 года,,Новости,Внешняя политика,13:50,Соболезнования Президенту США Бараку Обаме,http://kremlin.ru/catalog/keywords/82/events/16037
23 июля 2012 года,,Новости,Внешняя политика,13:00,Поздравление Президенту Египта Мухаммеду Мурси с 60-й годовщиной Июльской революции,http://kremlin.ru/catalog/keywords/82/events/16043
23 июля 2012 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,14:30,Российско-итальянские переговоры,http://kremlin.ru/catalog/keywords/82/events/16045
23 июля 2012 года,,Выступления и стенограммы,Внешняя политика,19:00,Пресс-конференция по итогам российско-итальянских переговоров,http://kremlin.ru/catalog/keywords/82/events/16047
24 июля 2012 года,Сочи,"Новости, Выступления и стенограммы","Внешняя политика, ВТО, ЕврАзЭС, Таможня",23:00,Встреча с главой Коллегии ЕЭК Виктором Христенко,http://kremlin.ru/catalog/keywords/82/events/16050
25 июля 2012 года,,Новости,Внешняя политика,12:10,Поздравление Пранабу Мукерджи с избранием на пост Президента Индии,http://kremlin.ru/catalog/keywords/82/events/16055
27 июля 2012 года,,Новости,Внешняя политика,13:50,Владимир Путин посетит Великобританию,http://kremlin.ru/catalog/keywords/82/events/16063
27 июля 2012 года,Сочи,Выступления и стенограммы,Внешняя политика,17:30,Заявления для прессы по итогам российско-вьетнамских переговоров,http://kremlin.ru/catalog/keywords/82/events/16064
27 июля 2012 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,17:30,Российско-вьетнамские переговоры,http://kremlin.ru/catalog/keywords/82/events/16062
28 июля 2012 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,16:00,Встреча с главой МИД Японии Коитиро Гэмбой,http://kremlin.ru/catalog/keywords/82/events/16069
30 июля 2012 года,,"Новости, Документы","Внешняя политика, Дети, Права человека",16:40,Подписаны законы о ратификации соглашений с США и Францией о сотрудничестве в области усыновления (удочерения),http://kremlin.ru/catalog/keywords/82/events/16079
